#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.10000000E-02      0.43371805E-05      0.14472142E-05      0.14427916E-05      0.14471746E-05
      0.20000000E-02      0.87004980E-05      0.29031492E-05      0.28942791E-05      0.29030697E-05
      0.30000000E-02      0.13090131E-04      0.43678643E-05      0.43545217E-05      0.43677447E-05
      0.40000000E-02      0.17506258E-04      0.58414196E-05      0.58235792E-05      0.58412595E-05
      0.50000000E-02      0.21949062E-04      0.73238756E-05      0.73015120E-05      0.73236747E-05
      0.60000000E-02      0.26418725E-04      0.88152931E-05      0.87883808E-05      0.88150512E-05
      0.70000000E-02      0.30915431E-04      0.10315734E-04      0.10284247E-04      0.10315450E-04
      0.80000000E-02      0.35439365E-04      0.11825259E-04      0.11789172E-04      0.11824934E-04
      0.90000000E-02      0.39990716E-04      0.13343932E-04      0.13303219E-04      0.13343565E-04
      0.10000000E-01      0.44569671E-04      0.14871815E-04      0.14826450E-04      0.14871406E-04
      0.11000000E-01      0.49176421E-04      0.16408972E-04      0.16358928E-04      0.16408521E-04
      0.12000000E-01      0.53811158E-04      0.17955467E-04      0.17900717E-04      0.17954973E-04
      0.13000000E-01      0.58474075E-04      0.19511365E-04      0.19451883E-04      0.19510827E-04
      0.14000000E-01      0.63165367E-04      0.21076730E-04      0.21012489E-04      0.21076149E-04
      0.15000000E-01      0.67885231E-04      0.22651628E-04      0.22582600E-04      0.22651003E-04
      0.16000000E-01      0.72633865E-04      0.24236125E-04      0.24162284E-04      0.24235456E-04
      0.17000000E-01      0.77411469E-04      0.25830288E-04      0.25751607E-04      0.25829574E-04
      0.18000000E-01      0.82218245E-04      0.27434184E-04      0.27350635E-04      0.27433426E-04
      0.19000000E-01      0.87054395E-04      0.29047881E-04      0.28959436E-04      0.29047078E-04
      0.20000000E-01      0.91920126E-04      0.30671448E-04      0.30578078E-04      0.30670599E-04
      0.21000000E-01      0.96815642E-04      0.32304953E-04      0.32206631E-04      0.32304058E-04
      0.22000000E-01      0.10174115E-03      0.33948466E-04      0.33845163E-04      0.33947525E-04
      0.23000000E-01      0.10669687E-03      0.35602056E-04      0.35493745E-04      0.35601069E-04
      0.24000000E-01      0.11168300E-03      0.37265795E-04      0.37152446E-04      0.37264761E-04
      0.25000000E-01      0.11669977E-03      0.38939754E-04      0.38821339E-04      0.38938673E-04
      0.26000000E-01      0.12174738E-03      0.40624005E-04      0.40500494E-04      0.40622876E-04
      0.27000000E-01      0.12682605E-03      0.42318620E-04      0.42189984E-04      0.42317444E-04
      0.28000000E-01      0.13193600E-03      0.44023672E-04      0.43889882E-04      0.44022448E-04
      0.29000000E-01      0.13707746E-03      0.45739235E-04      0.45600262E-04      0.45737962E-04
      0.30000000E-01      0.14225064E-03      0.47465384E-04      0.47321197E-04      0.47464062E-04
      0.31000000E-01      0.14745578E-03      0.49202193E-04      0.49052762E-04      0.49200822E-04
      0.32000000E-01      0.15269309E-03      0.50949738E-04      0.50795033E-04      0.50948317E-04
      0.33000000E-01      0.15796280E-03      0.52708095E-04      0.52548085E-04      0.52706624E-04
      0.34000000E-01      0.16326516E-03      0.54477341E-04      0.54311996E-04      0.54475820E-04
      0.35000000E-01      0.16860038E-03      0.56257553E-04      0.56086843E-04      0.56255982E-04
      0.36000000E-01      0.17396870E-03      0.58048811E-04      0.57872703E-04      0.58047188E-04
      0.37000000E-01      0.17937037E-03      0.59851192E-04      0.59669656E-04      0.59849517E-04
      0.38000000E-01      0.18480561E-03      0.61664776E-04      0.61477781E-04      0.61663050E-04
      0.39000000E-01      0.19027467E-03      0.63489643E-04      0.63297157E-04      0.63487865E-04
      0.40000000E-01      0.19577779E-03      0.65325875E-04      0.65127866E-04      0.65324044E-04
      0.41000000E-01      0.20131521E-03      0.67173553E-04      0.66969989E-04      0.67171669E-04
      0.42000000E-01      0.20688719E-03      0.69032759E-04      0.68823608E-04      0.69030821E-04
      0.43000000E-01      0.21249397E-03      0.70903576E-04      0.70688805E-04      0.70901585E-04
      0.44000000E-01      0.21813580E-03      0.72786088E-04      0.72565665E-04      0.72784043E-04
      0.45000000E-01      0.22381293E-03      0.74680380E-04      0.74454271E-04      0.74678280E-04
      0.46000000E-01      0.22952563E-03      0.76586536E-04      0.76354708E-04      0.76584381E-04
      0.47000000E-01      0.23527414E-03      0.78504643E-04      0.78267063E-04      0.78502433E-04
      0.48000000E-01      0.24105873E-03      0.80434787E-04      0.80191422E-04      0.80432521E-04
      0.49000000E-01      0.24687966E-03      0.82377056E-04      0.82127871E-04      0.82374733E-04
      0.50000000E-01      0.25273720E-03      0.84331538E-04      0.84076499E-04      0.84329158E-04
      0.51000000E-01      0.25863160E-03      0.86298321E-04      0.86037395E-04      0.86295885E-04
      0.52000000E-01      0.26456315E-03      0.88277497E-04      0.88010647E-04      0.88275002E-04
      0.53000000E-01      0.27053210E-03      0.90269154E-04      0.89996347E-04      0.90266602E-04
      0.54000000E-01      0.27653874E-03      0.92273384E-04      0.91994586E-04      0.92270774E-04
      0.55000000E-01      0.28258335E-03      0.94290280E-04      0.94005455E-04      0.94287611E-04
      0.56000000E-01      0.28866619E-03      0.96319935E-04      0.96029046E-04      0.96317206E-04
      0.57000000E-01      0.29478755E-03      0.98362442E-04      0.98065455E-04      0.98359653E-04
      0.58000000E-01      0.30094772E-03      0.10041790E-03      0.10011477E-03      0.10041505E-03
      0.59000000E-01      0.30714697E-03      0.10248639E-03      0.10217710E-03      0.10248348E-03
      0.60000000E-01      0.31338561E-03      0.10456803E-03      0.10425253E-03      0.10456506E-03
      0.61000000E-01      0.31966391E-03      0.10666290E-03      0.10634115E-03      0.10665986E-03
      0.62000000E-01      0.32598218E-03      0.10877110E-03      0.10844307E-03      0.10876800E-03
      0.63000000E-01      0.33234071E-03      0.11089273E-03      0.11055839E-03      0.11088958E-03
      0.64000000E-01      0.33873979E-03      0.11302790E-03      0.11268721E-03      0.11302468E-03
      0.65000000E-01      0.34517974E-03      0.11517670E-03      0.11482961E-03      0.11517342E-03
      0.66000000E-01      0.35166085E-03      0.11733924E-03      0.11698572E-03      0.11733589E-03
      0.67000000E-01      0.35818343E-03      0.11951561E-03      0.11915562E-03      0.11951220E-03
      0.68000000E-01      0.36474779E-03      0.12170592E-03      0.12133942E-03      0.12170245E-03
      0.69000000E-01      0.37135425E-03      0.12391028E-03      0.12353723E-03      0.12390674E-03
      0.70000000E-01      0.37800311E-03      0.12612878E-03      0.12574915E-03      0.12612518E-03
      0.71000000E-01      0.38469470E-03      0.12836154E-03      0.12797529E-03      0.12835787E-03
      0.72000000E-01      0.39142934E-03      0.13060867E-03      0.13021575E-03      0.13060493E-03
      0.73000000E-01      0.39820736E-03      0.13287026E-03      0.13247064E-03      0.13286645E-03
      0.74000000E-01      0.40502907E-03      0.13514644E-03      0.13474007E-03      0.13514256E-03
      0.75000000E-01      0.41189481E-03      0.13743730E-03      0.13702415E-03      0.13743336E-03
      0.76000000E-01      0.41880491E-03      0.13974297E-03      0.13932299E-03      0.13973895E-03
      0.77000000E-01      0.42575971E-03      0.14206355E-03      0.14163670E-03      0.14205946E-03
      0.78000000E-01      0.43275955E-03      0.14439915E-03      0.14396540E-03      0.14439500E-03
      0.79000000E-01      0.43980476E-03      0.14674990E-03      0.14630919E-03      0.14674567E-03
      0.80000000E-01      0.44689570E-03      0.14911590E-03      0.14866820E-03      0.14911160E-03
      0.81000000E-01      0.45403271E-03      0.15149727E-03      0.15104254E-03      0.15149290E-03
      0.82000000E-01      0.46121615E-03      0.15389413E-03      0.15343233E-03      0.15388969E-03
      0.83000000E-01      0.46844637E-03      0.15630660E-03      0.15583768E-03      0.15630209E-03
      0.84000000E-01      0.47572372E-03      0.15873480E-03      0.15825871E-03      0.15873021E-03
      0.85000000E-01      0.48304857E-03      0.16117884E-03      0.16069555E-03      0.16117418E-03
      0.86000000E-01      0.49042128E-03      0.16363885E-03      0.16314831E-03      0.16363412E-03
      0.87000000E-01      0.49784222E-03      0.16611495E-03      0.16561712E-03      0.16611014E-03
      0.88000000E-01      0.50531177E-03      0.16860727E-03      0.16810210E-03      0.16860239E-03
      0.89000000E-01      0.51283029E-03      0.17111593E-03      0.17060338E-03      0.17111097E-03
