#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.10000000E-02      0.44602024E-05      0.14883678E-05      0.14835747E-05      0.14882598E-05
      0.20000000E-02      0.89472829E-05      0.29857043E-05      0.29760910E-05      0.29854876E-05
      0.30000000E-02      0.13461425E-04      0.44920708E-05      0.44776099E-05      0.44917443E-05
      0.40000000E-02      0.18002813E-04      0.60075289E-05      0.59881928E-05      0.60070918E-05
      0.50000000E-02      0.22571635E-04      0.75321407E-05      0.75079017E-05      0.75315922E-05
      0.60000000E-02      0.27168076E-04      0.90659690E-05      0.90367991E-05      0.90653082E-05
      0.70000000E-02      0.31792328E-04      0.10609077E-04      0.10574948E-04      0.10608303E-04
      0.80000000E-02      0.36444581E-04      0.12161528E-04      0.12122412E-04      0.12160640E-04
      0.90000000E-02      0.41125026E-04      0.13723387E-04      0.13679255E-04      0.13722384E-04
      0.10000000E-01      0.45833860E-04      0.15294718E-04      0.15245542E-04      0.15293599E-04
      0.11000000E-01      0.50571276E-04      0.16875587E-04      0.16821338E-04      0.16874351E-04
      0.12000000E-01      0.55337473E-04      0.18466060E-04      0.18406708E-04      0.18464705E-04
      0.13000000E-01      0.60132650E-04      0.20066202E-04      0.20001719E-04      0.20064729E-04
      0.14000000E-01      0.64957006E-04      0.21676081E-04      0.21606437E-04      0.21674488E-04
      0.15000000E-01      0.69810745E-04      0.23295764E-04      0.23220930E-04      0.23294050E-04
      0.16000000E-01      0.74694069E-04      0.24925320E-04      0.24845265E-04      0.24923484E-04
      0.17000000E-01      0.79607185E-04      0.26564816E-04      0.26479512E-04      0.26562857E-04
      0.18000000E-01      0.84550300E-04      0.28214322E-04      0.28123738E-04      0.28212240E-04
      0.19000000E-01      0.89523623E-04      0.29873908E-04      0.29778013E-04      0.29871701E-04
      0.20000000E-01      0.94527364E-04      0.31543644E-04      0.31442408E-04      0.31541312E-04
      0.21000000E-01      0.99561736E-04      0.33223601E-04      0.33116993E-04      0.33221142E-04
      0.22000000E-01      0.10462695E-03      0.34913851E-04      0.34801840E-04      0.34911264E-04
      0.23000000E-01      0.10972323E-03      0.36614465E-04      0.36497020E-04      0.36611749E-04
      0.24000000E-01      0.11485079E-03      0.38325516E-04      0.38202605E-04      0.38322670E-04
      0.25000000E-01      0.12000985E-03      0.40047078E-04      0.39918670E-04      0.40044101E-04
      0.26000000E-01      0.12520063E-03      0.41779225E-04      0.41645288E-04      0.41776116E-04
      0.27000000E-01      0.13042335E-03      0.43522030E-04      0.43382532E-04      0.43518788E-04
      0.28000000E-01      0.13567824E-03      0.45275570E-04      0.45130479E-04      0.45272193E-04
      0.29000000E-01      0.14096553E-03      0.47039919E-04      0.46889203E-04      0.47036408E-04
      0.30000000E-01      0.14628544E-03      0.48815155E-04      0.48658781E-04      0.48811507E-04
      0.31000000E-01      0.15163821E-03      0.50601355E-04      0.50439289E-04      0.50597569E-04
      0.32000000E-01      0.15702407E-03      0.52398596E-04      0.52230806E-04      0.52394672E-04
      0.33000000E-01      0.16244326E-03      0.54206957E-04      0.54033409E-04      0.54202892E-04
      0.34000000E-01      0.16789600E-03      0.56026516E-04      0.55847178E-04      0.56022311E-04
      0.35000000E-01      0.17338255E-03      0.57857354E-04      0.57672191E-04      0.57853007E-04
      0.36000000E-01      0.17890314E-03      0.59699551E-04      0.59508529E-04      0.59695060E-04
      0.37000000E-01      0.18445801E-03      0.61553188E-04      0.61356273E-04      0.61548553E-04
      0.38000000E-01      0.19004742E-03      0.63418346E-04      0.63215504E-04      0.63413566E-04
      0.39000000E-01      0.19567160E-03      0.65295110E-04      0.65086306E-04      0.65290182E-04
      0.40000000E-01      0.20133080E-03      0.67183560E-04      0.66968760E-04      0.67178485E-04
      0.41000000E-01      0.20702529E-03      0.69083783E-04      0.68862950E-04      0.69078558E-04
      0.42000000E-01      0.21275531E-03      0.70995861E-04      0.70768961E-04      0.70990486E-04
      0.43000000E-01      0.21852111E-03      0.72919881E-04      0.72686878E-04      0.72914354E-04
      0.44000000E-01      0.22432296E-03      0.74855929E-04      0.74616787E-04      0.74850249E-04
      0.45000000E-01      0.23016112E-03      0.76804091E-04      0.76558774E-04      0.76798257E-04
      0.46000000E-01      0.23603585E-03      0.78764455E-04      0.78512927E-04      0.78758466E-04
      0.47000000E-01      0.24194741E-03      0.80737110E-04      0.80479334E-04      0.80730964E-04
      0.48000000E-01      0.24789607E-03      0.82722145E-04      0.82458084E-04      0.82715840E-04
      0.49000000E-01      0.25388210E-03      0.84719649E-04      0.84449267E-04      0.84713185E-04
      0.50000000E-01      0.25990577E-03      0.86729713E-04      0.86452972E-04      0.86723089E-04
      0.51000000E-01      0.26596736E-03      0.88752430E-04      0.88469292E-04      0.88745643E-04
      0.52000000E-01      0.27206715E-03      0.90787890E-04      0.90498318E-04      0.90780940E-04
      0.53000000E-01      0.27820540E-03      0.92836188E-04      0.92540143E-04      0.92829073E-04
      0.54000000E-01      0.28438241E-03      0.94897416E-04      0.94594860E-04      0.94890135E-04
      0.55000000E-01      0.29059846E-03      0.96971671E-04      0.96662565E-04      0.96964223E-04
      0.56000000E-01      0.29685383E-03      0.99059047E-04      0.98743353E-04      0.99051430E-04
      0.57000000E-01      0.30314881E-03      0.10115964E-03      0.10083732E-03      0.10115185E-03
      0.58000000E-01      0.30948370E-03      0.10327355E-03      0.10294456E-03      0.10326559E-03
      0.59000000E-01      0.31585879E-03      0.10540087E-03      0.10506518E-03      0.10539274E-03
      0.60000000E-01      0.32227437E-03      0.10754171E-03      0.10719926E-03      0.10753340E-03
      0.61000000E-01      0.32873075E-03      0.10969615E-03      0.10934692E-03      0.10968767E-03
      0.62000000E-01      0.33522822E-03      0.11186431E-03      0.11150826E-03      0.11185565E-03
      0.63000000E-01      0.34176710E-03      0.11404629E-03      0.11368336E-03      0.11403745E-03
