#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.10000000E-02      0.36671322E-05      0.12222756E-05      0.12222468E-05      0.12226098E-05
      0.20000000E-02      0.73561308E-05      0.24518394E-05      0.24517816E-05      0.24525097E-05
      0.30000000E-02      0.11067143E-04      0.36887406E-05      0.36886538E-05      0.36897489E-05
      0.40000000E-02      0.14800318E-04      0.49330286E-05      0.49329128E-05      0.49343770E-05
      0.50000000E-02      0.18555806E-04      0.61847536E-05      0.61846086E-05      0.61864440E-05
      0.60000000E-02      0.22333758E-04      0.74439658E-05      0.74437917E-05      0.74460002E-05
      0.70000000E-02      0.26134325E-04      0.87107161E-05      0.87105127E-05      0.87130965E-05
      0.80000000E-02      0.29957663E-04      0.99850557E-05      0.99848229E-05      0.99877841E-05
      0.90000000E-02      0.33803925E-04      0.11267036E-04      0.11266774E-04      0.11270115E-04
      0.10000000E-01      0.37673267E-04      0.12556709E-04      0.12556418E-04      0.12560140E-04
      0.11000000E-01      0.41565847E-04      0.13854128E-04      0.13853807E-04      0.13857913E-04
      0.12000000E-01      0.45481825E-04      0.15159345E-04      0.15158994E-04      0.15163486E-04
      0.13000000E-01      0.49421358E-04      0.16472413E-04      0.16472033E-04      0.16476912E-04
      0.14000000E-01      0.53384610E-04      0.17793387E-04      0.17792977E-04      0.17798246E-04
      0.15000000E-01      0.57371742E-04      0.19122320E-04      0.19121880E-04      0.19127542E-04
      0.16000000E-01      0.61382918E-04      0.20459267E-04      0.20458797E-04      0.20464854E-04
      0.17000000E-01      0.65418304E-04      0.21804283E-04      0.21803784E-04      0.21810237E-04
      0.18000000E-01      0.69478066E-04      0.23157424E-04      0.23156895E-04      0.23163747E-04
      0.19000000E-01      0.73562372E-04      0.24518746E-04      0.24518186E-04      0.24525439E-04
      0.20000000E-01      0.77671391E-04      0.25888304E-04      0.25887715E-04      0.25895371E-04
      0.21000000E-01      0.81805294E-04      0.27266157E-04      0.27265538E-04      0.27273600E-04
      0.22000000E-01      0.85964254E-04      0.28652361E-04      0.28651712E-04      0.28660181E-04
      0.23000000E-01      0.90148444E-04      0.30046974E-04      0.30046295E-04      0.30055175E-04
      0.24000000E-01      0.94358038E-04      0.31450055E-04      0.31449345E-04      0.31458638E-04
      0.25000000E-01      0.98593214E-04      0.32861663E-04      0.32860922E-04      0.32870629E-04
      0.26000000E-01      0.10285415E-03      0.34281855E-04      0.34281085E-04      0.34291209E-04
      0.27000000E-01      0.10714102E-03      0.35710694E-04      0.35709892E-04      0.35720436E-04
      0.28000000E-01      0.11145402E-03      0.37148238E-04      0.37147406E-04      0.37158372E-04
      0.29000000E-01      0.11579331E-03      0.38594549E-04      0.38593686E-04      0.38605076E-04
      0.30000000E-01      0.12015909E-03      0.40049687E-04      0.40048794E-04      0.40060611E-04
      0.31000000E-01      0.12455154E-03      0.41513715E-04      0.41512792E-04      0.41525037E-04
      0.32000000E-01      0.12897086E-03      0.42986696E-04      0.42985741E-04      0.42998418E-04
      0.33000000E-01      0.13341721E-03      0.44468691E-04      0.44467706E-04      0.44480816E-04
      0.34000000E-01      0.13789081E-03      0.45959764E-04      0.45958748E-04      0.45972295E-04
      0.35000000E-01      0.14239183E-03      0.47459980E-04      0.47458933E-04      0.47472919E-04
      0.36000000E-01      0.14692048E-03      0.48969402E-04      0.48968324E-04      0.48982751E-04
      0.37000000E-01      0.15147694E-03      0.50488096E-04      0.50486987E-04      0.50501858E-04
