# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00008649
   -9.88988989    0.00008774
   -9.77977978    0.00008902
   -9.66966967    0.00009033
   -9.55955956    0.00009168
   -9.44944945    0.00009306
   -9.33933934    0.00009447
   -9.22922923    0.00009593
   -9.11911912    0.00009742
   -9.00900901    0.00009895
   -8.89889890    0.00010052
   -8.78878879    0.00010213
   -8.67867868    0.00010379
   -8.56856857    0.00010550
   -8.45845846    0.00010725
   -8.34834835    0.00010906
   -8.23823824    0.00011092
   -8.12812813    0.00011283
   -8.01801802    0.00011480
   -7.90790791    0.00011683
   -7.79779780    0.00011892
   -7.68768769    0.00012108
   -7.57757758    0.00012330
   -7.46746747    0.00012560
   -7.35735736    0.00012797
   -7.24724725    0.00013042
   -7.13713714    0.00013296
   -7.02702703    0.00013558
   -6.91691692    0.00013829
   -6.80680681    0.00014109
   -6.69669670    0.00014400
   -6.58658659    0.00014701
   -6.47647648    0.00015013
   -6.36636637    0.00015337
   -6.25625626    0.00015674
   -6.14614615    0.00016023
   -6.03603604    0.00016387
   -5.92592593    0.00016765
   -5.81581582    0.00017158
   -5.70570571    0.00017569
   -5.59559560    0.00017996
   -5.48548549    0.00018443
   -5.37537538    0.00018909
   -5.26526527    0.00019396
   -5.15515516    0.00019906
   -5.04504505    0.00020440
   -4.93493493    0.00021000
   -4.82482482    0.00021588
   -4.71471471    0.00022205
   -4.60460460    0.00022854
   -4.49449449    0.00023538
   -4.38438438    0.00024259
   -4.27427427    0.00025019
   -4.16416416    0.00025823
   -4.05405405    0.00026674
   -3.94394394    0.00027576
   -3.83383383    0.00028533
   -3.72372372    0.00029551
   -3.61361361    0.00030635
   -3.50350350    0.00031791
   -3.39339339    0.00033027
   -3.28328328    0.00034351
   -3.17317317    0.00035771
   -3.06306306    0.00037298
   -2.95295295    0.00038944
   -2.84284284    0.00040722
   -2.73273273    0.00042648
   -2.62262262    0.00044739
   -2.51251251    0.00047016
   -2.40240240    0.00049503
   -2.29229229    0.00052227
   -2.18218218    0.00055222
   -2.07207207    0.00058526
   -1.96196196    0.00062184
   -1.85185185    0.00066249
   -1.74174174    0.00070785
   -1.63163163    0.00075870
   -1.52152152    0.00081593
   -1.41141141    0.00088065
   -1.30130130    0.00095417
   -1.19119119    0.00103804
   -1.08108108    0.00113413
   -0.97097097    0.00124457
   -0.86086086    0.00137182
   -0.75075075    0.00151852
   -0.64064064    0.00168728
   -0.53053053    0.00188035
   -0.42042042    0.00209902
   -0.31031031    0.00234314
   -0.20020020    0.00261089
   -0.09009009    0.00289871
    0.02002002    0.00320294
    0.13013013    0.00353126
    0.24024024    0.00387162
    0.35035035    0.00422157
    0.46046046    0.00456600
    0.57057057    0.00488037
    0.68068068    0.00513539
    0.79079079    0.00530486
    0.90090090    0.00537140
    1.01101101    0.00532759
    1.12112112    0.00517497
    1.23123123    0.00492440
    1.34134134    0.00459702
    1.45145145    0.00422213
    1.56156156    0.00383123
    1.67167167    0.00345135
    1.78178178    0.00310097
    1.89189189    0.00278980
    2.00200200    0.00252069
    2.11211211    0.00229224
    2.22222222    0.00210090
    2.33233233    0.00194237
    2.44244244    0.00181239
    2.55255255    0.00170711
    2.66266266    0.00162327
    2.77277277    0.00155818
    2.88288288    0.00150971
    2.99299299    0.00147622
    3.10310310    0.00145648
    3.21321321    0.00144960
    3.32332332    0.00145497
    3.43343343    0.00147214
    3.54354354    0.00150081
    3.65365365    0.00154077
    3.76376376    0.00159206
    3.87387387    0.00165520
    3.98398398    0.00173143
    4.09409409    0.00182286
    4.20420420    0.00193222
    4.31431431    0.00206257
    4.42442442    0.00221676
    4.53453453    0.00239688
    4.64464464    0.00260349
    4.75475475    0.00283462
    4.86486486    0.00308481
    4.97497497    0.00334510
    5.08508509    0.00360470
    5.19519520    0.00385477
    5.30530531    0.00409219
    5.41541542    0.00432026
    5.52552553    0.00454545
    5.63563564    0.00477272
    5.74574575    0.00500349
    5.85585586    0.00523715
    5.96596597    0.00547344
    6.07607608    0.00571327
    6.18618619    0.00595757
    6.29629630    0.00620574
    6.40640641    0.00645440
    6.51651652    0.00669684
    6.62662663    0.00692294
    6.73673674    0.00711896
    6.84684685    0.00726753
    6.95695696    0.00735060
    7.06706707    0.00735643
    7.17717718    0.00728703
    7.28728729    0.00716045
    7.39739740    0.00700560
    7.50750751    0.00685256
    7.61761762    0.00672358
    7.72772773    0.00662844
    7.83783784    0.00656430
    7.94794795    0.00651820
    8.05805806    0.00647088
    8.16816817    0.00640172
    8.27827828    0.00629426
    8.38838839    0.00614125
    8.49849850    0.00594749
    8.60860861    0.00572899
    8.71871872    0.00550845
    8.82882883    0.00530858
    8.93893894    0.00514657
    9.04904905    0.00503155
    9.15915916    0.00496497
    9.26926927    0.00494263
    9.37937938    0.00495734
    9.48948949    0.00500138
    9.59959960    0.00506790
    9.70970971    0.00515043
    9.81981982    0.00524146
    9.92992993    0.00533227
   10.04004004    0.00541533
   10.15015015    0.00548781
   10.26026026    0.00555298
   10.37037037    0.00561841
   10.48048048    0.00569201
   10.59059059    0.00577780
   10.70070070    0.00587296
   10.81081081    0.00596635
   10.92092092    0.00603921
   11.03103103    0.00606916
   11.14114114    0.00603800
   11.25125125    0.00594041
   11.36136136    0.00578737
   11.47147147    0.00560108
   11.58158158    0.00540523
   11.69169169    0.00521722
   11.80180180    0.00504557
   11.91191191    0.00489133
   12.02202202    0.00475066
   12.13213213    0.00461717
   12.24224224    0.00448420
   12.35235235    0.00434726
   12.46246246    0.00420582
   12.57257257    0.00406309
   12.68268268    0.00392403
   12.79279279    0.00379292
   12.90290290    0.00367219
   13.01301301    0.00356302
   13.12312312    0.00346649
   13.23323323    0.00338383
   13.34334334    0.00331555
   13.45345345    0.00326088
   13.56356356    0.00321842
   13.67367367    0.00318763
   13.78378378    0.00316971
   13.89389389    0.00316710
   14.00400400    0.00318177
   14.11411411    0.00321357
   14.22422422    0.00325945
   14.33433433    0.00331394
   14.44444444    0.00337068
   14.55455455    0.00342464
   14.66466466    0.00347423
   14.77477477    0.00352227
   14.88488488    0.00357541
   14.99499499    0.00364188
   15.10510511    0.00372865
   15.21521522    0.00383871
   15.32532533    0.00396888
   15.43543544    0.00410855
   15.54554555    0.00424017
   15.65565566    0.00434294
   15.76576577    0.00439960
   15.87587588    0.00440296
   15.98598599    0.00435797
   16.09609610    0.00427761
   16.20620621    0.00417588
   16.31631632    0.00406234
   16.42642643    0.00394092
   16.53653654    0.00381216
   16.64664665    0.00367677
   16.75675676    0.00353811
   16.86686687    0.00340221
   16.97697698    0.00327611
   17.08708709    0.00316564
   17.19719720    0.00307397
   17.30730731    0.00300128
   17.41741742    0.00294519
   17.52752753    0.00290141
   17.63763764    0.00286456
   17.74774775    0.00282939
   17.85785786    0.00279230
   17.96796797    0.00275257
   18.07807808    0.00271254
   18.18818819    0.00267649
   18.29829830    0.00264899
   18.40840841    0.00263341
   18.51851852    0.00263122
   18.62862863    0.00264220
   18.73873874    0.00266508
   18.84884885    0.00269802
   18.95895896    0.00273835
   19.06906907    0.00278146
   19.17917918    0.00281987
   19.28928929    0.00284406
   19.39939940    0.00284535
   19.50950951    0.00281977
   19.61961962    0.00277022
   19.72972973    0.00270536
   19.83983984    0.00263659
   19.94994995    0.00257486
   20.06006006    0.00252869
   20.17017017    0.00250352
   20.28028028    0.00250168
   20.39039039    0.00252287
   20.50050050    0.00256473
   20.61061061    0.00262347
   20.72072072    0.00269444
   20.83083083    0.00277249
   20.94094094    0.00285213
   21.05105105    0.00292773
   21.16116116    0.00299398
   21.27127127    0.00304654
   21.38138138    0.00308253
   21.49149149    0.00310054
   21.60160160    0.00310022
